est_cod;linea;via;lon;lat;est_name
MC;L4;1;-70.59013727;-33.50921955;Macul
VM;L4;1;-70.59566075;-33.51917635;Vicuna Mackenna
VA;L4;1;-70.59669669;-33.5265197;Vicente Valdes
RM;L4;1;-70.59286037;-33.53583006;Rojas Magallanes
TR;L4;1;-70.58799917;-33.54658131;Trinidad
JE;L4;1;-70.586684;-33.55336444;San Jose de la Estrella
LQ;L4;1;-70.58541153;-33.56072299;Los Quillayes
EA;L4;1;-70.58385875;-33.5694646;Elisa Correa
HS;L4;1;-70.58240716;-33.57675335;Hospital Sotero del Rio
PI;L4;1;-70.57993961;-33.5893472;Protectora de la Infancia
ME;L4;1;-70.57753301;-33.60140734;Las Mercedes
PP;L4;1;-70.57601079;-33.60963026;Plaza de Puente Alto
TL;L4;2;-70.601214;-33.41828847;Tobalaba
CO;L4;2;-70.59100152;-33.42634061;Colon
BI;L4;2;-70.58462318;-33.43183776;Bilbao
GA;L4;2;-70.57315498;-33.43870763;Principe de Gales
SB;L4;2;-70.57181426;-33.4461862;Simon Bolivar
EG;L4;2;-70.57065842;-33.45349056;Plaza Egana
OR;L4;2;-70.57378785;-33.46252252;Los Orientales
RG;L4;2;-70.57636973;-33.46960716;Grecia
LP;L4;2;-70.57852992;-33.47987351;Los Presidentes
RQ;L4;2;-70.58027222;-33.48823624;Quilin
LT;L4;2;-70.58624923;-33.49888848;Las Torres
MC;L4;2;-70.58992201;-33.50922231;Macul
VM;L4;2;-70.59544547;-33.51917913;Vicuna Mackenna
VA;L4;2;-70.59648139;-33.52652248;Vicente Valdes
RM;L4;2;-70.59264505;-33.53583283;Rojas Magallanes
TR;L4;2;-70.58778382;-33.54658407;Trinidad
JE;L4;2;-70.58646864;-33.5533672;San Jose de la Estrella
LQ;L4;2;-70.58519615;-33.56072575;Los Quillayes
EA;L4;2;-70.58364334;-33.56946736;Elisa Correa
HS;L4;2;-70.58219173;-33.5767561;Hospital Sotero del Rio
PI;L4;2;-70.57972415;-33.58934995;Protectora de la Infancia
ME;L4;2;-70.57731752;-33.60141009;Las Mercedes
PP;L4;2;-70.57579528;-33.60963301;Plaza de Puente Alto
VI;L4A;1;-70.59607542;-33.51952459;Vicuna Mackenna
JU;L4A;1;-70.60549567;-33.53106726;Santa Julia
LG;L4A;1;-70.6160512;-33.54109161;La Granja
SR;L4A;1;-70.63409276;-33.54236263;Santa Rosa
RN;L4A;1;-70.64317626;-33.54113441;San Ramon
CI;L4A;1;-70.66445889;-33.53722663;La Cisterna
VI;L4A;2;-70.59607873;-33.51970491;Vicuna Mackenna
JU;L4A;2;-70.605499;-33.53124758;Santa Julia
LG;L4A;2;-70.61605456;-33.54127193;La Granja
SR;L4A;2;-70.63409616;-33.54254294;Santa Rosa
RN;L4A;2;-70.64317967;-33.54131472;San Ramon
CI;L4A;2;-70.66446234;-33.53740695;La Cisterna
PM;L5;1;-70.75713117;-33.51032773;Plaza Maipu
BU;L5;1;-70.75727412;-33.49626493;Santiago Bueras
DS;L5;1;-70.75312617;-33.49032673;Del Sol
MT;L5;1;-70.74492932;-33.48168474;Monte Tabor
PA;L5;1;-70.73985275;-33.47526083;Las Parcelas
LS;L5;1;-70.73773888;-33.46270974;Laguna Sur
BR;L5;1;-70.73889238;-33.45299906;Barrancas
PU;L5;1;-70.74114275;-33.44495206;Pudahuel
SO;L5;1;-70.723432;-33.44434791;San Pablo
PR;L5;1;-70.71675716;-33.44350285;Lo Prado
BL;L5;1;-70.70677161;-33.44144657;Blanqueado
GL;L5;1;-70.69092252;-33.43807424;Gruta de Lourdes
QN;L5;1;-70.68030425;-33.44052701;Quinta Normal
RC;L5;1;-70.66855145;-33.43924782;Ricardo Cumming
NA;L5;1;-70.65866585;-33.43824925;Santa Ana
PZ;L5;1;-70.65061069;-33.43737275;Plaza de Armas
BE;L5;1;-70.64422184;-33.43670434;Bellas Artes
BQ;L5;1;-70.63349342;-33.43722293;Baquedano
PB;L5;1;-70.63205134;-33.44277276;Parque Bustamante
SI;L5;1;-70.63052519;-33.44712882;Santa Isabel
IR;L5;1;-70.62869208;-33.45392397;Irarrazaval
NU;L5;1;-70.62484631;-33.46740225;Nuble
RA;L5;1;-70.62240784;-33.47758874;Rodrigo de Araya
CV;L5;1;-70.61920144;-33.48647047;Carlos Valdovino
AG;L5;1;-70.61758532;-33.49189062;Agricola
SJ;L5;1;-70.61603367;-33.49899956;San Joaquin
PE;L5;1;-70.61252911;-33.50800138;Pedrero
MA;L5;1;-70.60630848;-33.51312497;Mirador
LF;L5;1;-70.6001028;-33.51952114;La Florida
VV;L5;1;-70.59688489;-33.52643152;Vicente Valdes
PM;L5;2;-70.75734641;-33.51032467;Plaza Maipu
BU;L5;2;-70.75748933;-33.49626188;Santiago Bueras
DS;L5;2;-70.75334137;-33.49032369;Del Sol
MT;L5;2;-70.74514449;-33.48168171;Monte Tabor
PA;L5;2;-70.74006791;-33.47525781;Las Parcelas
LS;L5;2;-70.737954;-33.46270673;Laguna Sur
BR;L5;2;-70.73910748;-33.45299604;Barrancas
PU;L5;2;-70.74113915;-33.44477175;Pudahuel
SO;L5;2;-70.72342843;-33.4441676;San Pablo
PR;L5;2;-70.71675361;-33.44332253;Lo Prado
BL;L5;2;-70.70676808;-33.44126625;Blanqueado
GL;L5;2;-70.69091903;-33.43789392;Gruta de Lourdes
QN;L5;2;-70.68030077;-33.44034669;Quinta Normal
RC;L5;2;-70.66854799;-33.4390675;Ricardo Cumming
NA;L5;2;-70.65866242;-33.43806894;Santa Ana
PZ;L5;2;-70.65060728;-33.43719243;Plaza de Armas
BE;L5;2;-70.64421843;-33.43652402;Bellas Artes
BQ;L5;2;-70.63327834;-33.43722576;Baquedano
PB;L5;2;-70.63183625;-33.4427756;Parque Bustamante
SI;L5;2;-70.63031009;-33.44713164;Santa Isabel
IR;L5;2;-70.62847696;-33.4539268;Irarrazaval
NU;L5;2;-70.62463115;-33.46740507;Nuble
RA;L5;2;-70.62219266;-33.47759156;Rodrigo de Araya
CV;L5;2;-70.61898624;-33.48647328;Carlos Valdovino
AG;L5;2;-70.61737011;-33.49189343;Agricola
SJ;L5;2;-70.61581844;-33.49900237;San Joaquin
PE;L5;2;-70.61231386;-33.50800418;Pedrero
MA;L5;2;-70.60609322;-33.51312777;Mirador
LF;L5;2;-70.59988752;-33.51952392;La Florida
VV;L5;2;-70.59666959;-33.52643429;Vicente Valdes
ER;L6;1;-70.6954388;-33.48348728;Cerrillos
VL;L6;1;-70.68100966;-33.47846802;Lo Valledor
PD;L6;1;-70.66490307;-33.47873149;Presidente Pedro Aguirre Cerda
FK;L6;1;-70.64930011;-33.47685925;Franklin
BB;L6;1;-70.64190829;-33.47655492;Bio Bio
NB;L6;1;-70.62519454;-33.4672504;Nuble
EN;L6;1;-70.60620081;-33.46303407;Estadio Nacional
NO;L6;1;-70.60491462;-33.45488161;Nunoa
IS;L6;1;-70.60712295;-33.43921991;Ines de Suarez
LN;L6;1;-70.60814016;-33.42085083;Los Leones
ER;L6;2;-70.69543529;-33.48330696;Cerrillos
VL;L6;2;-70.68100618;-33.4782877;Lo Valledor
PD;L6;2;-70.66489962;-33.47855117;Presidente Pedro Aguirre Cerda
FK;L6;2;-70.64929669;-33.47667893;Franklin
BB;L6;2;-70.64190489;-33.4763746;Bio Bio
NB;L6;2;-70.62519118;-33.46707008;Nuble
EN;L6;2;-70.60641595;-33.46303129;Estadio Nacional
NO;L6;2;-70.60512974;-33.45487882;Nunoa
IS;L6;2;-70.60733803;-33.43921712;Ines de Suarez
LN;L6;2;-70.60813684;-33.42067051;Los Leones
LB;L3;1;-70.6917389;-33.3653928;LOS LIBERTADORES
CR;L3;1;-70.6864436;-33.3737476;CARDENAL CARO
IV;L3;1;-70.6794283;-33.3858007;VIVACETA
CL;L3;1;-70.669726;-33.397876;CONCHALI
PC;L3;1;-70.6610617;-33.4068656;PLAZA CHACABUCO
HO;L3;1;-70.656588;-33.4176317;HOSPITALES
AC;L3;1;-70.6532736;-33.4325854;CAL Y CANTO
AR;L3;1;-70.6526459;-33.4374803;PLAZA DE ARMAS
HC;L3;1;-70.651668;-33.444076;U.DE CHILE
AM;L3;1;-70.650538;-33.451588;PLAZA ALMAGRO
TT;L3;1;-70.6432631;-33.4585007;MATTA
IZ;L3;1;-70.6277315;-33.4550626;IRARRAZAVAL
EY;L3;1;-70.6126688;-33.4534022;M.EYZAGUIRRE
NN;L3;1;-70.6053187;-33.4541974;NUNOA
ES;L3;1;-70.5975082;-33.4550572;CHILE-ESPANA
VF;L3;1;-70.5810271;-33.4547199;DIAGONAL ORIENTE
GE;L3;1;-70.571777;-33.4535539;PLAZA EGANA
FC;L3;1;-70.5576432;-33.4521152;FERNANDO CASTILLO VELASCO
LB;L3;2;-70.6917354;-33.3652125;LOS LIBERTADORES
CR;L3;2;-70.6862287;-33.3737505;CARDENAL CARO
IV;L3;2;-70.6792134;-33.3858036;VIVACETA
CL;L3;2;-70.6695111;-33.3978789;CONCHALI
PC;L3;2;-70.6608467;-33.4068684;PLAZA CHACABUCO
HO;L3;2;-70.656373;-33.4176346;HOSPITALES
AC;L3;2;-70.6530586;-33.4325882;CAL Y CANTO
AR;L3;2;-70.6524308;-33.4374831;PLAZA DE ARMAS
HC;L3;2;-70.6514529;-33.4440788;U.DE CHILE
AM;L3;2;-70.6503228;-33.4515908;PLAZA ALMAGRO
TT;L3;2;-70.6432597;-33.4583204;MATTA
IZ;L3;2;-70.6277281;-33.4548823;IRARRAZAVAL
EY;L3;2;-70.6126655;-33.4532219;M.EYZAGUIRRE
NN;L3;2;-70.6053154;-33.4540171;NUNOA
ES;L3;2;-70.5975049;-33.4548769;CHILE-ESPANA
VF;L3;2;-70.5810239;-33.4545395;DIAGONAL ORIENTE
GE;L3;2;-70.5717738;-33.4533736;PLAZA EGANA
FC;L3;2;-70.55764;-33.4519348;FERNANDO CASTILLO VELASCO
